State,County,Fast_food_2011,Fast_food_2016,Fast_food_per_1000_2011,Fast_food_per_1000_2016,Fast_food_expenditures_per_capita_2012
AL,Tallapoosa,26,23,0.628110354,0.56686548,674.8027204
AL,Tuscaloosa,157,171,0.79817386,0.828962294,674.8027204
AL,Walker,49,45,0.735989906,0.697015226,674.8027204
AL,Washington,3,2,0.172860847,0.120148985,674.8027204
AL,Wilcox,5,3,0.437062937,0.275862069,674.8027204
AL,Winston,12,11,0.4927322,0.460501528,674.8027204
AK,Aleutians East,1,1,0.306560392,0.300842359,511.4807882
AK,Aleutians West,2,0,0.357973868,0.0,511.4807882
AK,Anchorage,201,208,0.678387126,0.6994512,511.4807882
AK,Bethel,7,6,0.40192926,0.333704116,511.4807882
AK,Bristol Bay,0,0,0.0,0.0,511.4807882
AK,Denali,1,3,0.534759358,1.466992665,511.4807882
AK,Dillingham,1,1,0.202101859,0.20096463,511.4807882
AK,Fairbanks North Star,43,44,0.438167441,0.43736705,511.4807882
AK,Haines,1,1,0.388500389,0.395100751,511.4807882
AK,Hoonah-Angoon,0,2,0.0,0.0,511.4807882
AK,Juneau,23,28,0.715129656,0.864064188,511.4807882
AK,Kenai Peninsula,33,44,0.586104007,0.751584306,511.4807882
AK,Ketchikan Gateway,7,11,0.513046028,0.801340424,511.4807882
AK,Kodiak Island,5,6,0.361794501,0.438628555,511.4807882
AK,Lake and Peninsula,0,0,0.0,0.0,511.4807882
AK,Matanuska-Susitna,37,36,0.403397259,0.345744936,511.4807882
AK,Nome,3,1,0.306905371,0.100857287,511.4807882
AK,North Slope,3,3,0.314169023,0.309757357,511.4807882
AK,Northwest Arctic,1,3,0.129785853,0.391542678,511.4807882
AK,Petersburg,0,3,0.0,0.0,511.4807882
AK,Prince of Wales-Hyder,0,3,0.0,0.0,511.4807882
AK,Sitka,3,4,0.337533753,0.45620438,511.4807882
AK,Skagway,0,2,0.0,0.0,511.4807882
AK,Southeast Fairbanks,5,3,0.699398517,0.438596491,511.4807882
AK,Valdez-Cordova,8,7,0.821186615,0.749464668,511.4807882
AK,Wade Hampton,0,0,0.0,0.0,511.4807882
AK,Wrangell,0,1,0.0,0.0,511.4807882
AK,Yakutat,0,0,0.0,0.0,511.4807882
AK,Yukon-Koyukuk,0,0,0.0,0.0,511.4807882
AZ,Apache,16,12,0.221671123,0.168130806,577.7188093
AZ,Cochise,69,58,0.518984295,0.462685972,577.7188093
AZ,Coconino,123,128,0.916672256,0.913770087,577.7188093
AZ,Gila,33,32,0.617723035,0.600409029,577.7188093
AZ,Graham,20,15,0.53873505,0.397172134,577.7188093
AZ,Greenlee,1,3,0.116699732,0.311753092,577.7188093
AZ,La Paz,16,16,0.777378292,0.779613117,577.7188093
AZ,Maricopa,2651,3055,0.685079127,0.721645077,577.7188093
AZ,Mohave,111,122,0.547518164,0.594006378,577.7188093
AZ,Navajo,58,62,0.539444558,0.572367571,577.7188093
AZ,Pima,611,666,0.618861396,0.657765435,577.7188093
AZ,Pinal,136,132,0.359573377,0.317984173,577.7188093
AZ,Santa Cruz,28,24,0.588049984,0.520889853,577.7188093
AZ,Yavapai,133,139,0.630681468,0.619531741,577.7188093
AZ,Yuma,101,121,0.498566006,0.588913819,577.7188093
AR,Arkansas,16,9,0.847951667,0.494098271,622.6752882
AR,Ashley,16,15,0.738245744,0.73177871,622.6752882
AR,Baxter,29,31,0.701482789,0.753432981,622.6752882
AR,Benton,147,163,0.642406709,0.630063702,622.6752882
AR,Boone,24,24,0.64754607,0.645317416,622.6752882
AR,Bradley,3,5,0.262582057,0.455414883,622.6752882
AR,Calhoun,1,1,0.190730498,0.193723363,622.6752882
AR,Carroll,15,15,0.546487904,0.540969417,622.6752882
AR,Chicot,6,5,0.513127512,0.458211144,622.6752882
AR,Clark,18,23,0.785408849,1.019955654,622.6752882
AR,Clay,9,6,0.56703629,0.398485754,622.6752882
AR,Cleburne,15,18,0.579374276,0.71544974,622.6752882
AR,Cleveland,2,2,0.230627306,0.242130751,622.6752882
AR,Columbia,15,21,0.60773033,0.875620231,622.6752882
AR,Conway,7,10,0.331517878,0.478583393,622.6752882
AR,Craighead,80,84,0.813752416,0.794093457,622.6752882
AR,Crawford,30,26,0.485444748,0.417610305,622.6752882
AR,Crittenden,33,30,0.653413591,0.608272506,622.6752882
AR,Cross,9,11,0.505731625,0.645653578,622.6752882
AR,Dallas,3,4,0.372809743,0.538358008,622.6752882
AR,Desha,9,10,0.707158011,0.838926174,622.6752882
AR,Drew,13,14,0.694259012,0.751556796,622.6752882
AR,Faulkner,72,84,0.619498722,0.688056486,622.6752882
AR,Franklin,6,5,0.333463013,0.282949465,622.6752882
AR,Fulton,4,4,0.326850793,0.332253509,622.6752882
AR,Garland,78,84,0.8055022,0.8551272,622.6752882
AR,Grant,5,5,0.27883114,0.276334697,622.6752882
AR,Greene,27,26,0.631564174,0.58146036,622.6752882
AR,Hempstead,10,14,0.444642063,0.635612458,622.6752882
AR,Hot Spring,16,18,0.482960548,0.538180948,622.6752882
AR,Howard,8,10,0.578829318,0.744158357,622.6752882
AR,Independence,27,24,0.732779678,0.647004906,622.6752882
AR,Izard,4,4,0.294833051,0.296515938,622.6752882
AR,Jackson,6,8,0.335495415,0.462187301,622.6752882
AR,Jefferson,58,58,0.763077571,0.824542947,622.6752882
AR,Johnson,14,12,0.546000546,0.457578646,622.6752882
AR,Lafayette,2,3,0.265498473,0.433025404,622.6752882
AR,Lawrence,6,6,0.347302616,0.360598594,622.6752882
AR,Lee,3,3,0.291516859,0.320512821,622.6752882
AR,Lincoln,1,5,0.069754464,0.362056481,622.6752882
AR,Little River,4,6,0.309023486,0.482703138,622.6752882
AR,Logan,9,11,0.404876513,0.506608944,622.6752882
AR,Lonoke,39,35,0.561490397,0.487757292,622.6752882
AR,Madison,3,3,0.191619826,0.186277554,622.6752882
AR,Marion,6,7,0.359863252,0.427637608,622.6752882
AR,Miller,25,22,0.571415511,0.50143593,622.6752882
AR,Mississippi,29,29,0.630284063,0.676227119,622.6752882
AR,Monroe,4,6,0.493949123,0.829302004,622.6752882
AR,Montgomery,2,5,0.212833883,0.558721645,622.6752882
AR,Nevada,3,3,0.333148251,0.358251732,622.6752882
AR,Newton,2,2,0.242072137,0.254161901,622.6752882
AR,Ouachita,11,17,0.427549751,0.707773013,622.6752882
AR,Perry,3,2,0.289100896,0.194685097,622.6752882
AR,Phillips,11,10,0.513898622,0.524934383,622.6752882
AR,Pike,3,5,0.267094017,0.46223537,622.6752882
AR,Poinsett,18,15,0.736497545,0.624791736,622.6752882
AR,Polk,10,7,0.486523304,0.347549774,622.6752882
AR,Pope,51,53,0.813994318,0.830044478,622.6752882
AR,Prairie,4,3,0.465116279,0.362713094,622.6752882
AR,Pulaski,340,365,0.879282299,0.927156019,622.6752882
AR,Randolph,10,10,0.556483027,0.574448529,622.6752882
AR,St. Francis,12,13,0.42887777,0.494221411,622.6752882
AR,Saline,57,70,0.520505164,0.595354534,622.6752882
AR,Scott,2,5,0.178015131,0.482625483,622.6752882
AR,Searcy,4,4,0.495662949,0.502197112,622.6752882
AR,Sebastian,89,103,0.701195972,0.807418847,622.6752882
AR,Sevier,6,7,0.349344978,0.412857564,622.6752882
AR,Sharp,9,9,0.521165094,0.525148792,622.6752882
AR,Stone,9,10,0.720172841,0.8,622.6752882
AR,Union,24,28,0.579892237,0.702335265,622.6752882
AR,Van Buren,5,6,0.29073148,0.360967393,622.6752882
AR,Washington,160,172,0.770215757,0.755711775,622.6752882
AR,White,50,57,0.640984552,0.723001598,622.6752882
AR,Woodruff,3,5,0.418060201,0.754944889,622.6752882
AR,Yell,11,9,0.50173326,0.418877409,622.6752882
CA,Alameda,1090,1293,0.711388415,0.782102495,642.4874575
CA,Alpine,2,0,1.829826167,0.0,642.4874575
CA,Amador,12,21,0.319667546,0.560403491,642.4874575
CA,Butte,147,158,0.668172707,0.697494758,642.4874575
CA,Calaveras,26,30,0.575692492,0.66203244,642.4874575
CA,Colusa,16,8,0.748853318,0.36960037,642.4874575
CA,Contra Costa,599,701,0.561817776,0.615644033,642.4874575
CA,Del Norte,15,10,0.527296376,0.364298725,642.4874575
CA,El Dorado,97,110,0.535985633,0.590534272,642.4874575
CA,Fresno,569,634,0.605087413,0.647246548,642.4874575
CA,Glenn,12,15,0.426136364,0.536346408,642.4874575
CA,Humboldt,95,97,0.702460089,0.710888317,642.4874575
CA,Imperial,81,103,0.459817095,0.56912366,642.4874575
CA,Inyo,13,15,0.706483343,0.831762227,642.4874575
CA,Kern,528,603,0.622078851,0.681289728,642.4874575
CA,Kings,90,89,0.591988423,0.594137399,642.4874575
CA,Lake,30,33,0.466758981,0.516028147,642.4874575
CA,Lassen,13,15,0.379628548,0.484746639,642.4874575
CA,Los Angeles,7211,8264,0.729415482,0.814142434,642.4874575
CA,Madera,75,78,0.493823909,0.503336216,642.4874575
CA,Marin,171,189,0.669262832,0.722664913,642.4874575
CA,Mariposa,9,8,0.495212942,0.456516777,642.4874575
CA,Mendocino,52,54,0.595190404,0.61637503,642.4874575
CA,Merced,127,143,0.489200985,0.531839719,642.4874575
CA,Modoc,7,3,0.735680504,0.335532938,642.4874575
CA,Mono,18,21,1.256193733,1.489256081,642.4874575
CA,Monterey,246,264,0.58409828,0.605000882,642.4874575
CA,Napa,76,82,0.551104021,0.578895721,642.4874575
CA,Nevada,53,65,0.536904593,0.65621435,642.4874575
CA,Orange,2575,3025,0.843304246,0.951945478,642.4874575
CA,Placer,274,334,0.768702044,0.879544533,642.4874575
CA,Plumas,13,9,0.659362954,0.479054665,642.4874575
CA,Riverside,1331,1541,0.595288677,0.64570953,642.4874575
CA,Sacramento,937,1075,0.653186533,0.710386847,642.4874575
CA,San Benito,26,28,0.464003998,0.471896857,642.4874575
CA,San Bernardino,1346,1526,0.652643716,0.714041395,642.4874575
CA,San Diego,2348,2736,0.747826192,0.824791993,642.4874575
CA,San Francisco,753,958,0.92246176,1.093478735,642.4874575
CA,San Joaquin,401,466,0.57691948,0.634623189,642.4874575
CA,San Luis Obispo,219,234,0.807671031,0.828958276,642.4874575
CA,San Mateo,501,593,0.687222059,0.770569195,642.4874575
CA,Santa Barbara,286,344,0.671270109,0.770788893,642.4874575
CA,Santa Clara,1288,1544,0.71010667,0.799347683,642.4874575
CA,Santa Cruz,171,175,0.645032308,0.635910406,642.4874575
CA,Shasta,133,122,0.748894958,0.682425856,642.4874575
CA,Sierra,1,1,0.322580645,0.337381916,642.4874575
CA,Siskiyou,29,28,0.650020173,0.643515433,642.4874575
CA,Solano,270,290,0.64802281,0.65861491,642.4874575
CA,Sonoma,273,291,0.559630357,0.577572331,642.4874575
CA,Stanislaus,327,366,0.631232699,0.676083812,642.4874575
CA,Sutter,51,59,0.539340102,0.614212247,642.4874575
CA,Tehama,34,33,0.536726285,0.520143749,642.4874575
CA,Trinity,12,6,0.877385392,0.467326116,642.4874575
CA,Tulare,215,264,0.48059943,0.572873154,642.4874575
CA,Tuolumne,31,26,0.565363292,0.483388179,642.4874575
CA,Ventura,553,634,0.665471305,0.744921842,642.4874575
CA,Yolo,138,152,0.682891104,0.703837302,642.4874575
CA,Yuba,31,29,0.427521342,0.385715236,642.4874575
CO,Adams,267,336,0.591436793,0.675519456,617.9516242
CO,Alamosa,13,16,0.806601725,0.972289742,617.9516242
CO,Arapahoe,448,506,0.765870879,0.794412111,617.9516242
CO,Archuleta,8,9,0.665889795,0.701153007,617.9516242
CO,Baca,1,0,0.264690312,0.0,617.9516242
CO,Bent,1,1,0.158027813,0.176025348,617.9516242
CO,Boulder,255,274,0.848534863,0.853122772,617.9516242
CO,Broomfield,67,74,1.166333014,1.112631373,617.9516242
CO,Chaffee,22,21,1.220933459,1.100513573,617.9516242
CO,Cheyenne,1,0,0.539665407,0.0,617.9516242
CO,Clear Creek,10,12,1.110864252,1.281914325,617.9516242
CO,Conejos,1,2,0.120787535,0.247770069,617.9516242
CO,Costilla,0,0,0.0,0.0,617.9516242
CO,Crowley,0,0,0.0,0.0,617.9516242
CO,Custer,3,2,0.709555345,0.434688111,617.9516242
CO,Delta,12,16,0.395100751,0.527252356,617.9516242
CO,Denver,540,632,0.871873365,0.909644389,617.9516242
CO,Dolores,0,0,0.0,0.0,617.9516242
CO,Douglas,195,218,0.666963095,0.665197942,617.9516242
CO,Eagle,43,48,0.828644107,0.882937238,617.9516242
CO,Elbert,6,5,0.258977901,0.199672537,617.9516242
CO,El Paso,426,443,0.669184224,0.645108678,617.9516242
CO,Fremont,18,17,0.380429039,0.362426982,617.9516242
CO,Garfield,40,51,0.714745193,0.865786168,617.9516242
CO,Gilpin,0,0,0.0,0.0,617.9516242
CO,Grand,16,20,1.100110011,1.321964439,617.9516242
CO,Gunnison,10,13,0.647500648,0.788308774,617.9516242
CO,Hinsdale,0,0,0.0,0.0,617.9516242
CO,Huerfano,2,4,0.306795521,0.607718019,617.9516242
CO,Jackson,0,0,0.0,0.0,617.9516242
CO,Jefferson,377,435,0.697593949,0.762036231,617.9516242
CO,Kiowa,0,1,0.0,0.741839763,617.9516242
CO,Kit Carson,6,6,0.735654733,0.786575773,617.9516242
CO,Lake,5,5,0.681663258,0.657375756,617.9516242
CO,La Plata,35,48,0.67606722,0.869313243,617.9516242
CO,Larimer,245,271,0.803207585,0.80051753,617.9516242
CO,Las Animas,12,11,0.798243864,0.780861787,617.9516242
CO,Lincoln,2,3,0.369208049,0.539374326,617.9516242
CO,Logan,11,11,0.498098171,0.501710376,617.9516242
CO,Mesa,103,91,0.699367175,0.607500968,617.9516242
CO,Mineral,1,0,1.406469761,0.0,617.9516242
CO,Moffat,4,5,0.298240382,0.379910341,617.9516242
CO,Montezuma,12,13,0.471272042,0.500481232,617.9516242
CO,Montrose,19,22,0.464263897,0.534499514,617.9516242
CO,Morgan,10,12,0.352162276,0.427609308,617.9516242
CO,Otero,12,13,0.636267232,0.712758375,617.9516242
CO,Ouray,8,4,1.812825742,0.836120401,617.9516242
CO,Park,5,5,0.311662407,0.288184438,617.9516242
CO,Phillips,2,2,0.457247371,0.467180565,617.9516242
CO,Pitkin,25,22,1.458066021,1.22946239,617.9516242
CO,Prowers,10,11,0.798977309,0.917507715,617.9516242
CO,Pueblo,111,106,0.693009346,0.643071211,617.9516242
CO,Rio Blanco,4,5,0.590754689,0.771247879,617.9516242
CO,Rio Grande,4,5,0.33599328,0.440994884,617.9516242
CO,Routt,22,26,0.946399381,1.05352729,617.9516242
CO,Saguache,0,0,0.0,0.0,617.9516242
CO,San Juan,4,4,5.797101449,5.805515239,617.9516242
CO,San Miguel,17,13,2.276074441,1.632345555,617.9516242
CO,Sedgwick,1,1,0.422654269,0.415800416,617.9516242
CO,Summit,44,47,1.57210233,1.54951866,617.9516242
CO,Teller,13,16,0.556435389,0.665557404,617.9516242
CO,Washington,2,2,0.419903422,0.412711515,617.9516242
CO,Weld,128,160,0.495110781,0.543768246,617.9516242
CO,Yuma,3,2,0.297088532,0.197667523,617.9516242
CT,Fairfield,573,724,0.616528118,0.762754809,436.682244
CT,Hartford,537,598,0.598143416,0.667785598,436.682244
CT,Litchfield,74,103,0.391377012,0.562543351,436.682244
CT,Middlesex,88,105,0.529275554,0.642465108,436.682244
CT,New Haven,573,675,0.662638411,0.784908363,436.682244
CT,New London,169,202,0.618535571,0.750073336,436.682244
CT,Tolland,54,64,0.352795908,0.42343445,436.682244
CT,Windham,59,64,0.498327646,0.551524448,436.682244
DE,Kent,85,92,0.514686737,0.52645433,553.3169839
DE,New Castle,378,411,0.6970543,0.736755872,553.3169839
DE,Sussex,157,162,0.783225993,0.736052487,553.3169839
DC,District of Columbia,771,877,1.242874829,1.281534217,1035.391608
FL,Alachua,197,197,0.788529892,0.745249507,530.2675895
FL,Baker,12,15,0.44375416,0.537345513,530.2675895
FL,Bay,121,152,0.713775874,0.830637405,530.2675895
FL,Bradford,13,14,0.457231289,0.523795271,530.2675895
FL,Brevard,338,375,0.620822535,0.648902317,530.2675895
FL,Broward,1220,1357,0.682444561,0.707831844,530.2675895
FL,Calhoun,8,7,0.543699878,0.487431237,530.2675895
FL,Charlotte,76,77,0.475353544,0.432203057,530.2675895
FL,Citrus,52,58,0.372053089,0.405622771,530.2675895
FL,Clay,124,114,0.644859327,0.550086856,530.2675895
FL,Collier,170,192,0.518819411,0.524454035,530.2675895
FL,Columbia,37,42,0.549703606,0.606288073,530.2675895
FL,DeSoto,10,11,0.287405875,0.306193459,530.2675895
FL,Dixie,4,7,0.243857831,0.424834618,530.2675895
FL,Duval,745,781,0.853961176,0.84306656,530.2675895
FL,Escambia,174,188,0.581228329,0.603122764,530.2675895
FL,Flagler,38,49,0.38980356,0.454524373,530.2675895
FL,Franklin,6,4,0.523149359,0.339011781,530.2675895
FL,Gadsden,19,21,0.401224791,0.454988625,530.2675895
FL,Gilchrist,2,7,0.117695522,0.406740267,530.2675895
FL,Glades,3,3,0.233772306,0.222882615,530.2675895
FL,Gulf,10,8,0.634517766,0.49689441,530.2675895
FL,Hamilton,6,7,0.411212391,0.48869031,530.2675895
FL,Hardee,9,8,0.325414904,0.292280151,530.2675895
FL,Hendry,21,21,0.539277368,0.529767911,530.2675895
FL,Hernando,67,86,0.387650721,0.471928486,530.2675895
FL,Highlands,50,44,0.507866858,0.433249966,530.2675895
FL,Hillsborough,793,856,0.623800875,0.619559404,530.2675895
FL,Holmes,4,4,0.201623066,0.206111197,530.2675895
FL,Indian River,86,93,0.618322477,0.614339882,530.2675895
FL,Jackson,30,28,0.609954457,0.579806179,530.2675895
FL,Jefferson,7,6,0.482126868,0.430632312,530.2675895
FL,Lafayette,2,2,0.227272727,0.231107003,530.2675895
FL,Lake,122,152,0.405975156,0.453148338,530.2675895
FL,Lee,313,400,0.495977511,0.55362862,530.2675895
FL,Leon,227,254,0.815522959,0.884789288,530.2675895
FL,Levy,18,17,0.448274145,0.426589044,530.2675895
FL,Liberty,0,0,0.0,0.0,530.2675895
FL,Madison,7,11,0.365993935,0.600895881,530.2675895
FL,Manatee,161,182,0.491538516,0.484605779,530.2675895
FL,Marion,145,170,0.436343502,0.488310703,530.2675895
FL,Martin,99,107,0.669479834,0.675147018,530.2675895
FL,Miami-Dade,1568,1690,0.609753252,0.617567493,530.2675895
FL,Monroe,61,67,0.82453603,0.866708062,530.2675895
FL,Nassau,47,60,0.633884498,0.750731964,530.2675895
FL,Okaloosa,153,172,0.83570024,0.860365655,530.2675895
FL,Okeechobee,17,14,0.426556933,0.344005701,530.2675895
FL,Orange,893,1030,0.762749143,0.778181895,530.2675895
FL,Osceola,156,192,0.559675388,0.568064144,530.2675895
FL,Palm Beach,822,937,0.614779386,0.644532002,530.2675895
FL,Pasco,185,204,0.396568503,0.399560483,530.2675895
FL,Pinellas,591,655,0.64339486,0.680798166,530.2675895
FL,Polk,241,308,0.395131197,0.461756654,530.2675895
FL,Putnam,34,29,0.461736946,0.400530357,530.2675895
FL,St. Johns,112,149,0.571198344,0.633918467,530.2675895
FL,St. Lucie,119,138,0.424262087,0.450863993,530.2675895
FL,Santa Rosa,76,88,0.488033546,0.517455296,530.2675895
FL,Sarasota,194,185,0.507503996,0.448073164,530.2675895
FL,Seminole,282,320,0.66132758,0.701271493,530.2675895
FL,Sumter,29,25,0.295990855,0.204714996,530.2675895
FL,Suwannee,15,25,0.345988836,0.57032052,530.2675895
FL,Taylor,9,12,0.39731591,0.542544534,530.2675895
FL,Union,2,3,0.130753138,0.19650226,530.2675895
FL,Volusia,258,292,0.521761288,0.551945229,530.2675895
FL,Wakulla,11,11,0.355170966,0.344989807,530.2675895
FL,Walton,36,46,0.647621789,0.702933985,530.2675895
FL,Washington,14,14,0.571265353,0.572597137,530.2675895
GA,Appling,15,15,0.812171747,0.811468758,666.146008
GA,Atkinson,3,5,0.358294518,0.600961538,666.146008
GA,Bacon,8,7,0.716717434,0.615926089,666.146008
GA,Baker,0,0,0.0,0.0,666.146008
GA,Baldwin,28,41,0.620196248,0.907280372,666.146008
GA,Banks,14,11,0.766409372,0.600797422,666.146008
GA,Barrow,36,37,0.515065671,0.479952264,666.146008
GA,Bartow,55,63,0.54883099,0.60910172,666.146008
GA,Ben Hill,16,9,0.911006092,0.523560209,666.146008
GA,Berrien,10,9,0.515969248,0.473335437,666.146008
GA,Bibb,182,185,1.165053516,1.207532391,666.146008
GA,Bleckley,5,5,0.382262997,0.387657001,666.146008
GA,Brantley,3,7,0.161812298,0.381367475,666.146008
GA,Brooks,4,9,0.250093785,0.57350411,666.146008
GA,Bryan,21,30,0.671548719,0.837006863,666.146008
GA,Bulloch,47,58,0.646608059,0.776220875,666.146008
GA,Burke,6,10,0.255297421,0.442321302,666.146008
GA,Butts,11,13,0.46659597,0.54829186,666.146008
GA,Calhoun,1,2,0.150943396,0.312842171,666.146008
GA,Camden,33,38,0.655959291,0.724969475,666.146008
GA,Candler,9,10,0.802997859,0.916170408,666.146008
GA,Carroll,87,85,0.785496307,0.730925007,666.146008
GA,Catoosa,41,51,0.633106856,0.769613835,666.146008
GA,Charlton,6,7,0.445699005,0.548976551,666.146008
GA,Chatham,248,315,0.912200684,1.088496493,666.146008
GA,Chattahoochee,1,2,0.088786291,0.198019802,666.146008
GA,Chattooga,12,12,0.467344316,0.483227963,666.146008
GA,Cherokee,122,156,0.560095492,0.645695364,666.146008
GA,Clarke,108,114,0.911907999,0.911868691,666.146008
GA,Clay,0,1,0.0,0.332667997,666.146008
GA,Clayton,177,194,0.674645525,0.692842296,666.146008
GA,Clinch,4,4,0.594088816,0.589188393,666.146008
GA,Cobb,537,640,0.769966434,0.852790958,666.146008
GA,Coffee,21,28,0.488008924,0.65093572,666.146008
GA,Colquitt,26,29,0.567041787,0.634976243,666.146008
GA,Columbia,62,89,0.480940782,0.603590345,666.146008
GA,Cook,14,14,0.821355236,0.814569151,666.146008
GA,Coweta,64,76,0.494617174,0.541033088,666.146008
GA,Crawford,2,3,0.158541419,0.244081035,666.146008
GA,Crisp,19,19,0.799629645,0.828428167,666.146008
GA,Dade,9,9,0.542528181,0.554118951,666.146008
GA,Dawson,18,17,0.807428341,0.719942405,666.146008
GA,Decatur,18,22,0.650829808,0.823507393,666.146008
GA,DeKalb,552,596,0.788927573,0.798189342,666.146008
GA,Dodge,12,12,0.555272778,0.575898642,666.146008
GA,Dooly,7,6,0.479452055,0.432120994,666.146008
GA,Dougherty,86,92,0.90467274,1.017755407,666.146008
GA,Douglas,81,95,0.608003123,0.66891516,666.146008
GA,Early,7,7,0.649109792,0.67974364,666.146008
GA,Echols,0,0,0.0,0.0,666.146008
GA,Effingham,26,27,0.493377358,0.461120694,666.146008
GA,Elbert,10,12,0.504464511,0.626860994,666.146008
GA,Emanuel,13,16,0.578008981,0.714158186,666.146008
GA,Evans,5,6,0.455124704,0.562429696,666.146008
GA,Fannin,17,21,0.719211406,0.840302509,666.146008
GA,Fayette,73,102,0.68089393,0.916870416,666.146008
GA,Floyd,68,71,0.706706436,0.734837508,666.146008
GA,Forsyth,120,144,0.659217509,0.654346176,666.146008
GA,Franklin,10,19,0.455145419,0.851788756,666.146008
GA,Fulton,984,1124,1.037089657,1.097390476,666.146008
GA,Gilmer,22,23,0.776616775,0.76582426,666.146008
GA,Glascock,0,0,0.0,0.0,666.146008
GA,Glynn,79,89,0.985258537,1.052905546,666.146008
GA,Gordon,38,39,0.684721697,0.68436661,666.146008
GA,Grady,16,18,0.63691732,0.723094846,666.146008
GA,Greene,9,6,0.559701493,0.354212173,666.146008
GA,Gwinnett,649,742,0.78746272,0.817990499,666.146008
GA,Habersham,30,31,0.696605211,0.701722616,666.146008
GA,Hall,114,118,0.624770506,0.601313718,666.146008
GA,Hancock,6,5,0.638569604,0.577567287,666.146008
GA,Haralson,13,22,0.456685168,0.763014601,666.146008
GA,Harris,8,7,0.247578374,0.20822798,666.146008
GA,Hart,10,13,0.393220872,0.508846094,666.146008
GA,Heard,3,5,0.255863539,0.432002765,666.146008
GA,Henry,146,162,0.70504153,0.731856068,666.146008
GA,Houston,110,135,0.764042759,0.888964981,666.146008
